year,month,length-sum,length-mean
2023,11,444184,649.3918128654971
2023,10,391428,615.4528301886793
2023,12,279856,612.3763676148797
2024,01,217854,668.2638036809816
2024,02,202725,643.5714285714286
2024,03,202288,663.239344262295
2021,05,178644,950.2340425531914
2024,04,117480,596.3451776649746
2022,05,71778,696.8737864077669
2021,06,67443,832.6296296296297
2023,05,62107,739.3690476190476
2023,07,52172,660.4050632911392
2023,06,43332,734.4406779661017
2023,01,42829,658.9076923076923
2023,04,40363,791.4313725490196
2022,09,39628,808.734693877551
2022,08,38867,637.1639344262295
2023,02,36400,700.0
2022,12,34080,725.1063829787234
2022,04,32157,714.6
2022,07,29684,873.0588235294117
2021,09,29020,763.6842105263158
2023,08,28508,678.7619047619048
2021,10,25945,894.6551724137931
2022,06,24717,706.2
2021,08,23474,690.4117647058823
2021,07,23388,668.2285714285714
2023,03,21700,586.4864864864865
2022,11,21698,748.2068965517242
2023,09,20457,619.9090909090909
2022,10,20281,654.2258064516129
2021,12,14578,911.125
2021,11,13597,647.4761904761905
2022,03,13447,747.0555555555555
2022,01,9105,700.3846153846154
2022,02,7533,684.8181818181819
2017,06,146,146.0
